name,address,phone,website,has_website,rating,total_reviews,place_id,ssl,load_time_s,mobile_responsive,copyright_year,has_contact,technical_score,visual_score,combined_score,needs_revamp,issues,ai_summary,screenshot,error
Crescent Real Estate,"29 Mercury St, Mayfair West, Randburg, 2092, South Africa",082 612 7211,http://www.crescentrealestate.co.za/,Yes,4.3,37,ChIJ2-WZysILlR4RWnmj5PXiV1I,No,4.39,No,2022,Yes,4,5,4.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Not mobile responsive | Copyright year 2022 — possibly outdated | Missing SEO meta tags (title/description),The design looks outdated due to the use of flat colors and basic typography.,screenshots/crescentrealestate.co.za.png,
Hendless Properties,"63A Roberts Ave, Kensington, Johannesburg, 2094, South Africa",011 618 9299,https://www.hendlessprop.co.za/,Yes,4.7,105,ChIJawjrfYkPlR4R_1rrFwz_abc,Yes,1.38,Yes,,No,7,3,5.0,Yes,"No contact info found (no form, phone, or email) | Missing SEO meta tags (title/description)",The page lacks visual content and uses a very basic and outdated style.,screenshots/hendlessprop.co.za.png,
Law Real Estate,"11 Charmion Ave, Glenvista, Johannesburg South, 2091, South Africa",011 682 3865,http://www.lawrealestate.co.za/,Yes,4.2,76,ChIJfcdA2F0PlR4R0gs0K4fUQPo,No,2.03,Yes,2026,Yes,8,3,5.5,Yes,No SSL (site shows as 'Not Secure' to visitors),The design is minimalistic but lacks visual appeal and modern aesthetics.,screenshots/lawrealestate.co.za.png,
3%.Com Properties,"34 6th St, Parkhurst, Randburg, 2193, South Africa",011 792 4360,http://www.threepercent.com/,Yes,4.7,208,ChIJW2wuKyF1lR4RatTQxzd6P4E,No,1.7,No,2026,Yes,6,5,5.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Not mobile responsive,The design features a bold color scheme but appears outdated and lacks modern aesthetics.,screenshots/threepercent.com.png,
Ormonde View Estates,"Nasrec Rd, Aeroton, Johannesburg, 2190, South Africa",011 210 8600,https://olympicrealtors.com/OrmondeViewEstates,Yes,4.3,795,ChIJORlKpuIIlR4Rq5wuludRfSs,Yes,13.37,Yes,2018,Yes,7,5,6.0,Yes,Copyright year 2018 — site is 8 years old | Slow load time (13.4s),"The design appears outdated, mainly due to its use of default fonts and lack of modern visual elements.",screenshots/olympicrealtors.com.png,
Johannesburg Property Company (SOC) Ltd,"Braampark, Johannesburg, 2017, South Africa",010 219 9000,http://www.jhbproperty.co.za/,Yes,4,120,ChIJl_dVnVomaAER3QSOaInm0go,No,1.12,Yes,2000,Yes,6,6,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Copyright year 2000 — site is 26 years old,The design is somewhat modern but lacks contemporary visual elements and polish.,screenshots/jhbproperty.co.za.png,
Snooks Estates,"43 Main Rd, Meredale, Johannesburg South, 2091, South Africa",011 942 5353,http://www.snooksestates.co.za/,Yes,3.5,16,ChIJY4w_QoOmlR4RSbb4hMgMHKo,No,1.06,Yes,2026,Yes,7,5,6.0,Yes,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),The design has a modern touch but is cluttered with unnecessary social media icons and cookie notice placement affecting clarity.,screenshots/snooksestates.co.za.png,
HOMESOLD PROPERTIES®️,"80 Grant Ave, Norwood, Johannesburg, 2193, South Africa",084 300 0444,http://www.homesoldproperties.co.za/,Yes,4.9,321,ChIJUwACiGB9aoMRlDKmsjmVUC8,No,0.83,No,,Yes,6,7,6.5,No,No SSL (site shows as 'Not Secure' to visitors) | Not mobile responsive,"The design is modern with clear calls to action, but it may benefit from more color diversity to enhance visual interest.",screenshots/homesoldproperties.co.za.png,
RE/MAX Finally Home - Mondeor,"155 Columbine Ave, Mondeor, Johannesburg South, 2091, South Africa",011 022 5359,http://www.remax-finallyhome.co.za/,Yes,4.5,11,ChIJ___bdsAIlR4RXxypDmj-GzQ,No,1.64,Yes,,Yes,7,6,6.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),"The design appears somewhat outdated, with a need for modern typography and layout adjustments.",screenshots/remax-finallyhome.co.za.png,
ROYAL REALTY,"76 3rd Ave, Mayfair, Johannesburg, 2092, South Africa",083 775 9252,http://www.royalrealty.co.za/,Yes,3.8,19,ChIJi_64MUImaAERaV5HWdq_5tQ,No,0.82,Yes,,Yes,8,5,6.5,Yes,No SSL (site shows as 'Not Secure' to visitors),The visual design is outdated due to the use of dated fonts and layout.,screenshots/royalrealty.co.za.png,
Orion Real Estate,"3rd Floor, Orion HQ, 26 Wellington Rd, Parktown, Johannesburg, 2193, South Africa",011 718 6452,http://www.oriongroup.co.za/,Yes,3.7,15,ChIJ__8DlhYMlR4RZKqGWuy5NGY,No,2.52,Yes,2024,Yes,7,6,6.5,Yes,No SSL (site shows as 'Not Secure' to visitors) | Missing SEO meta tags (title/description),The design is somewhat outdated with a sparse layout and lacks modern visual elements.,screenshots/oriongroup.co.za.png,
Royal Real Estate,"192 Turf Club St, Turffontein, Johannesburg South, 2190, South Africa",011 434 4791,http://www.royalrealestate.co.za/,Yes,4.5,6,ChIJh9fLJh4PlR4RgezT4VvpLno,No,0.89,Yes,2026,Yes,8,6,7.0,Yes,No SSL (site shows as 'Not Secure' to visitors),The site has a clean layout but the aesthetic feels somewhat outdated with its choice of colors and font.,screenshots/royalrealestate.co.za.png,
